KeyLastWriteTime,Path,Key
2018-01-13 10:53:48.901110,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001\AppData\Local,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1\0\0 @ 0x0
2018-01-13 10:53:49.447227,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001\AppData\Local\Microsoft,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1\0\0\0 @ 0x0
2018-01-13 10:53:50.130518,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001\AppData\Local\Microsoft\Windows,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1\0\0\0\0 @ 0x0
2018-01-13 11:35:55.237080,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001\AppData\Local\Microsoft\Windows\WER,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1\0\0\0\0\0 @ 0x0
2018-01-13 10:53:51.404984,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001\AppData\Local\Microsoft\Windows\WER\ReportArchive,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1\0\0\0\0\0\0 @ 0x0
2018-01-13 10:53:52.045687,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001\AppData\Local\Microsoft\Windows\WER\ReportArchive\AppCrash_IEXPLORE.EXE_4028bc1840f4215727dc7e4dcdb648a5ec556ec_0bbcbe9d,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1\0\0\0\0\0\0\0 @ 0x0
2018-01-13 11:35:55.237080,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001\AppData\Local\Microsoft\Windows\Temporary Internet Files,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1\0\0\0\0\0 @ 0x0
2018-01-13 11:35:55.862148,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1\0\0\0\0\0\1 @ 0x0
2018-01-13 11:35:56.581461,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\2L0LRGDS,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1\0\0\0\0\0\1\0 @ 0x0
2018-01-25 10:22:03.039303,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Windows,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0 @ 0x0
2018-01-13 11:18:16.214144,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Windows\System32,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\2 @ 0x0
2018-01-13 11:18:16.907990,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Windows\System32\winevt,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\2\0 @ 0x0
2018-01-13 11:18:17.492544,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Windows\System32\winevt\Logs,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\2\0\0 @ 0x0
2018-01-25 10:22:03.039303,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Victim_2_Infected,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0 @ 0x0
2018-01-25 10:33:21.145613,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Victim_2_Infected\Windows,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\3 @ 0x0
2018-01-25 11:14:26.743708,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Victim_2_Infected\Windows\System32,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\3\0 @ 0x0
2018-01-25 11:14:27.513250,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Victim_2_Infected\Windows\System32\winevt,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\3\0\0 @ 0x0
